,date,Temperature,Humidity,Light,CO2,HumidityRatio,Occupancy,date_time
0,2/2/2015 14:19,23.7,26.272,585.2,749.2,0.004764163,1,1.42288674e+18
1,2/2/2015 14:19,23.718,26.29,578.4,760.4,0.004772661,1,1.42288674e+18
2,2/2/2015 14:21,23.73,26.23,572.6666667,769.6666667,0.004765153,1,1.42288686e+18
3,2/2/2015 14:22,23.7225,26.125,493.75,774.75,0.004743773,1,1.42288692e+18
4,2/2/2015 14:23,23.754,26.2,488.6,779.0,0.004766594,1,1.42288698e+18
5,2/2/2015 14:23,23.76,26.26,568.6666667,790.0,0.004779332,1,1.42288698e+18
6,2/2/2015 14:25,23.73,26.29,536.3333333,798.0,0.004776136,1,1.4228871e+18
7,2/2/2015 14:25,23.754,26.29,509.0,797.0,0.004783094,1,1.4228871e+18
8,2/2/2015 14:26,23.754,26.35,476.0,803.2,0.004794094,1,1.42288716e+18
9,2/2/2015 14:28,23.736,26.39,510.0,809.0,0.004796189,1,1.42288728e+18
10,2/2/2015 14:29,23.745,26.445,481.5,815.25,0.004808886,1,1.42288734e+18
11,2/2/2015 14:30,23.7,26.56,481.8,824.0,0.004816793,1,1.4228874e+18
12,2/2/2015 14:31,23.7,26.6,475.25,832.0,0.004824104,1,1.42288746e+18
13,2/2/2015 14:31,23.7,26.7,469.0,845.3333333,0.004842381,1,1.42288746e+18
14,2/2/2015 14:32,23.7,26.774,464.0,852.4,0.004855906,1,1.42288752e+18
15,2/2/2015 14:34,23.7,26.89,464.0,861.0,0.00487711,1,1.42288764e+18
16,2/2/2015 14:35,23.7,26.9725,455.0,880.0,0.004892191,1,1.4228877e+18
17,2/2/2015 14:36,23.6,26.89,454.0,891.0,0.004847594,1,1.42288776e+18
18,2/2/2015 14:37,23.64,26.976,458.0,897.6,0.004875045,1,1.42288782e+18
19,2/2/2015 14:38,23.65,27.05,464.0,900.5,0.004891492,1,1.42288788e+18
20,2/2/2015 14:38,23.64,27.1,473.0,908.8,0.00489763,1,1.42288788e+18
21,2/2/2015 14:39,23.6,27.16,464.0,918.0,0.004896652,1,1.42288794e+18
22,2/2/2015 14:41,23.6,27.236,498.4,925.2,0.004910462,1,1.42288806e+18
23,2/2/2015 14:42,23.6,27.29,530.2,929.4,0.004920275,1,1.42288812e+18
24,2/2/2015 14:43,23.6,27.33,533.6,936.4,0.004927544,1,1.42288818e+18
25,2/2/2015 14:44,23.6,27.34,524.25,950.0,0.004929361,1,1.42288824e+18
26,2/2/2015 14:44,23.625,27.3925,498.6666667,961.0,0.004946406,1,1.42288824e+18
27,2/2/2015 14:45,23.6,27.39,516.3333333,963.0,0.004938448,1,1.4228883e+18
28,2/2/2015 14:47,23.6,27.412,501.2,958.6,0.004942446,1,1.42288842e+18
29,2/2/2015 14:48,23.6,27.5,522.0,965.3333333,0.004958439,1,1.42288848e+18
30,2/2/2015 14:49,23.6,27.525,520.5,979.25,0.004962982,1,1.42288854e+18
31,2/2/2015 14:50,23.6,27.6,505.2857143,978.4285714,0.004976614,1,1.4228886e+18
